,Unnamed: 0,Task,Domain,Problem,Plan,Domain len,Problem len,Plan len
0,151,hanoi, (define (domain hanoi) (:requirements :strips) (:predicates (clear ?x)              (on ?x ?y)              (smaller ?x ?y))  (:action move :parameters (?disc ?from ?to) :precondition (and (smaller ?to ?disc)                     (on ?disc ?from)                     (clear ?disc)                     (clear ?to)) :effect  (and (clear ?from)                (on ?disc ?to)                (not (on ?disc ?from))                 (not (clear ?to)))  ))  ,   (define (problem hanoi-1) (:domain hanoi) (:objects peg1 peg2 peg3 d1 ) (:init (smaller peg1 d1) (smaller peg2 d1) (smaller peg3 d1) (clear peg2)             (clear peg3)             (clear d1) (on d1 peg1) ) (:goal (and  (on d1 peg3) ) ) )   ,move d1 peg1 peg3 (1),450,246,21
1,152,hanoi, (define (domain hanoi) (:requirements :strips) (:predicates (clear ?x)              (on ?x ?y)              (smaller ?x ?y))  (:action move :parameters (?disc ?from ?to) :precondition (and (smaller ?to ?disc)                     (on ?disc ?from)                     (clear ?disc)                     (clear ?to)) :effect  (and (clear ?from)                (on ?disc ?to)                (not (on ?disc ?from))                 (not (clear ?to)))  ))  ,   (define (problem hanoi-2) (:domain hanoi) (:objects peg1 peg2 peg3 d1 d2 ) (:init (smaller peg1 d1) (smaller peg1 d2) (smaller peg2 d1) (smaller peg2 d2) (smaller peg3 d1) (smaller peg3 d2) (smaller d1 d1) (smaller d2 d1) (clear peg2)             (clear peg3)             (clear d1) (on d2 peg1) (on d1 d2) ) (:goal (and  (on d2 peg3) (on d1 d2) ) ) )   ,move d1 d2 peg2 (1) move d2 peg1 peg3 (1) move d1 peg2 d2 (1),450,357,61
2,153,hanoi, (define (domain hanoi) (:requirements :strips) (:predicates (clear ?x)              (on ?x ?y)              (smaller ?x ?y))  (:action move :parameters (?disc ?from ?to) :precondition (and (smaller ?to ?disc)                     (on ?disc ?from)                     (clear ?disc)                     (clear ?to)) :effect  (and (clear ?from)                (on ?disc ?to)                (not (on ?disc ?from))                 (not (clear ?to)))  ))  ,   (define (problem hanoi-3) (:domain hanoi) (:objects peg1 peg2 peg3 d1 d2 d3 ) (:init (smaller peg1 d1) (smaller peg1 d2) (smaller peg1 d3) (smaller peg2 d1) (smaller peg2 d2) (smaller peg2 d3) (smaller peg3 d1) (smaller peg3 d2) (smaller peg3 d3) (smaller d1 d1) (smaller d2 d1) (smaller d3 d1) (smaller d2 d2) (smaller d3 d2) (clear peg2)             (clear peg3)             (clear d1) (on d3 peg1) (on d2 d3) (on d1 d2) ) (:goal (and  (on d3 peg3) (on d2 d3) (on d1 d2) ) ) )   ,move d1 d2 peg3 (1) move d2 d3 peg2 (1) move d1 peg3 d2 (1) move d3 peg1 peg3 (1) move d1 d2 peg1 (1) move d2 peg2 d3 (1) move d1 peg1 d2 (1),450,484,141
3,275,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-1) (:domain tsp) (:objects p1 ) (:init (at p1) ) (:goal (and (visited p1) ) ) )   ,move p1 p1 (1),202,106,14
4,276,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-2) (:domain tsp) (:objects p1 p2 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) ) ) )   ,move p1 p1 (1) move p1 p2 (1),202,122,29
5,277,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-3) (:domain tsp) (:objects p1 p2 p3 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1),202,138,44
6,278,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-4) (:domain tsp) (:objects p1 p2 p3 p4 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1) move p3 p4 (1),202,154,59
7,279,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-5) (:domain tsp) (:objects p1 p2 p3 p4 p5 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1),202,170,74
8,280,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-6) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1),202,186,89
9,281,tsp,(define (domain tsp)   (:predicates      (at ?x)      (visited ?x))    (:action move         :parameters (?x ?y)         :precondition (at ?x)         :effect (and (at ?y) (visited ?y) (not (at ?x))))) ,   (define (problem tsp-7) (:domain tsp) (:objects p1 p2 p3 p4 p5 p6 p7 ) (:init (at p1) ) (:goal (and (visited p1) (visited p2) (visited p3) (visited p4) (visited p5) (visited p6) (visited p7) ) ) )   ,move p1 p1 (1) move p1 p2 (1) move p2 p3 (1) move p3 p4 (1) move p4 p5 (1) move p5 p6 (1) move p6 p7 (1),202,202,104
